French,English
pourvoir,"to provide, equip, supply, furnish [not ""fournir"" / ""doter""]"
systématique,systematic
adhérer,"to stick to, support, join, be a member of, adhere"
parallèlement,"in parallel, similarly"
un légume,vegetable
francophone,"French-speaking, French speaker, francophone"
émaner,"to issue from, emanate from, come from, radiate from"
un souffle,"breath, puff"
un lac,lake
véritablement,"truly, really [not ""vraiment"" / ""réellement""]"
prévaloir,to prevail
sixième,sixth
une enveloppe,envelope
une extension,"extension, stretching, expansion"
s'effondrer,"to collapse, cave in, fall down [not ""écrouler""]"
apprêter,"to prepare, get ready, dress [not ""préparer""]"
un souhait,"wish [not ""guise""]"
cibler,"to target (at) [not ""viser""]"
additionnel,"additional [not ""supplémentaire""]"
un excès,"excess, surplus, abuse [not ""surplus"" / ""excédent""]"
une douzaine,dozen
turc,"Turk, Turkish"
incertain,"uncertain, unsure"
épouser,"to marry, wed, espouse (e.g. ideas) [not ""marier""]"
un consensus,consensus
anonyme,anonymous
un avertissement,warning
un excédent,"surplus, excess [not ""surplus"" / ""excès""]"
une mondialisation,"internationalisation, globalisation"
conventionnel,conventional
une unanimité,unanimity
romain,Roman
une inégalité,"difference, uneveness, inequality"
un chat,cat; chat
une finale,"(finale,) final event"
une mademoiselle,Miss
coûteux,"expensive, costly [not ""cher""]"
un ventre,"belly, stomach"
soixante,sixty
une bière,beer; coffin
originaire,"original, first, native to"
une interrogation,"question, interviewing, interrogation, questioning, test"
un voile,"veil, (sail)"
accentuer,"to stress, to emphasize, become more pronounced, accentuate"
rattacher,"to attach, join, tie [not ""attacher""]"
manuel,manual
contracter,"to contract, take out, tense"
territorial,"territorial, land"
subsister,"to subsist, remain"
passif,"passive, (liabilities)"
un voleur,"thief, light-fingered"
une centrale,"power station, central office"
un pôle,pole
un délit,"crime, offence, delinquency [not ""criminalité"" / ""crime""]"
un usager,"user [not ""utilisateur""]"
musical,musical
allumer,"to switch on, light up, turn on"
carré,"square, broad, plain"
disperser,"to disperse, scatter, spread [not ""dissiper"" / ""semer""]"
déchirer,"to tear up, tear, rip [not ""arracher""]"
un mépris,"contempt, scorn, disdain"
un échantillon,sample
une continuité,"continuity, continuation"
un fichier,"file [not ""dossier""]"
une conquête,conquest
quelquefois,"sometimes [not ""parfois""]"
un supplément,"supplement, extra"
sincère,sincere
optique,"optical, optic, perspective"
maximal,maximal
une permission,"permission, leave"
méchant,"nasty, wicked, mean"
contourner,"to bypass, go round"
une interview,"interview [not ""entretien"" / ""entrevue""]"
un désespoir,despair
une humeur,"mood, temper, humor"
un demandeur,"seeker, complainant"
horrible,"horrible, terrible, dreadful, hideous"
conquérir,to conquer
une idéologie,ideology
un encouragement,encouragement
motiver,"to justify, account for, motivate [not ""justifier""]"
plier,"to fold, fold up, fold back, bend [not ""r...""]"
homologue,"counterpart, homologue"
successif,successive
manifestement,"manifestly, clearly"
olympique,Olympic
un horaire,"schedule, timetable, (hourly)"
littéralement,literally
propice,"favorable, auspicious, propitious [not ""favorable""]"
un chèque,check
explorer,"to explore, investigate, examine"
un matériau,material
une dépendance,"dependence, dependency"
nu,"naked, nude"
une reproduction,reproduction
abaisser,"to pull down, lower, reduce [not ""réduire""]"
une divergence,"divergence, difference"
restant,"remaining, the rest, the remainder"
une détention,"detention, possession"
étouffer,"to suffocate, smother, muffle"
une inscription,"registration, enrolment; engraving, inscription [not ""enregistrement""]"
une poignée,"handful, fistful, handle"
un approvisionnement,"supply, supplies, stock, supplying, stocking, procurement, provision [not ""apport"" / ""fourniture""]"
une municipalité,municipality
consécutif,consecutive
un nuage,cloud
institutionnel,institutional
une confédération,confederation
une montée,"climb, ascent, rise, raising"
un vendeur,"salesman, seller"
une réplique,"reply, retort; replica"
acquitter,"to acquit, pay, settle, pay off"
un intervalle,"space, distance, interval [not ""écart""]"
un métro,"underground, metro"
une coutume,custom
quiconque,"whoever, anyone who"
panique,panic
abriter,"to shelter, shade"
une variété,variety
un bulletin,"bulletin, report"
une flotte,fleet
décourager,"to discourage, dishearten, lose heart"
une poussière,dust
une fierté,"pride [not ""orgueil""]"
fatiguer,"to fatigue, tire, get tired"
détacher,"to untie, detach, remove"
une interface,interface
un administrateur,"administrator [not ""gestionnaire""]"
doucement,"gently, softly"
quoique,"although, though"
une projection,"projection, ejection, discharge"
treize,thirteen
un épisode,episode
un tarif,"tariff, price, rate, fare"
un remplacement,"replacement, standing in [not ""renouvellement""]"
une devise,"currency, motto, slogan [not ""monnaie""]"
un optimisme,optimism
un chanteur,singer
un décret,"decree [not ""arrêté""]"
un écrit,"document, writing, (written) [not ""écriture""]"
une antenne,antenna
une queue,"tail, handle, stalk, stem, rear, queue"
durement,"harshly, severely [not ""sévèrement""]"
applaudir,"to clap, applaud"
un sucre,sugar
prioritaire,"priority, having priority, having right of way"
une chair,flesh
exécutif,executive
une suggestion,suggestion
un sable,sand
une corruption,corruption
un blé,wheat
un chaos,chaos
référer,"to refer, consult, refer to"
obéir,"to obey, comply with, respond to"
un fusil,"rifle, gun [not ""canon""]"
taper,"to beat, slam, bang, type"
compétent,competent
une discrétion,discretion
une odeur,"smell, odor"
une identification,identification
fêter,"to celebrate [not ""célébrer""]"
substantiel,substantial
asiatique,Asian
cohérent,coherent
une photographie,photography
une exclusion,"exclusion, expulsion"
préconiser,"to recommend, advocate, preconize"
une tribune,"tribune, platform, forum, gallery"
bénéficiaire,beneficiary
un historien,historian
une aspiration,aspiration
une tentation,temptation
une gloire,"glory, fame"
vanter,"to vaunt, boast, brag"
coincer,"to jam, hinder, get stuck, catch [not ""entraver""]"
silencieux,"silent, noiseless, silencer"
continu,continuous
un chantier,"construction site, roadworks"
seize,sixteen
un ennui,"boredom, trouble, worry, ennui"
un pompier,"fireman, firefighter, (pompous)"
une inspection,inspection
convertir,to convert
un pouce,"thumb, inch"
une clientèle,"customers, clientele"
une croyance,belief
atténuer,"to lessen, diminish, dim, subdue, reduce, extenuate [not ""diminuer""]"
survivant,"survivor, surviving"
applicable,applicable
équitable,"equitable, fair"
un schéma,"diagram, outline, schema"
un acier,steel
un/une vainqueur,"winner, victor"
une révélation,"diclosure, revelation"
sud-est,south-east
brancher,"to plug in, connect"
une concession,concession
mystérieux,"mysterious, secretive"
un assassinat,"murder, assassination"
une rive,"shore, bank"
dépendant,"answerable, responsible, dependent [not ""responsable""]"
une clarté,"lightness, brightness, clearness, clarity"
un conjoint,"spouse, joint [not ""époux""]"
fermement,firmly
redonner,"to give back, return, give more"
assortir,"to match, accompany [not ""accompagner""]"
un change,"exchange [not ""échange""]"
une tolérance,tolerance
un grain,"grain, bean, bead; spot, mole"
compliqué,"complicated, complex"
un malaise,"uneasiness, discomfort, malaise"
restaurer,"to restore, feed"
une ambassade,embassy
un diplôme,"diploma, certificate"
un miroir,mirror
une star,"star [not ""étoile"" / ""vedette""]"
une restructuration,"restructure, restructuring"
une proie,prey
une domination,"domination, dominion, rule"
un otage,hostage
moquer,"to mock, make fun of"
allier,"to ally, match, unite"
un couvert,"covered, overcast; place, seat, cutlery"
spectaculaire,spectacular
un placement,"investment, placing"
difficilement,with difficulty
une grille,"railings, gate, grid, scale, grille"
vieillir,to grow old
un abord,"manner; approach, access, environs"
exigeant,"demanding, difficult"
primitif,primitive
une demi-heure,half an hour
une mention,"mention, note, comment, notice"
pertinent,"pertinent, relevant"
brièvement,briefly
un/une actionnaire,shareholder
emprisonner,"to imprison, jail, put in jail, trap"
un raisonnement,reasoning
une lune,moon
un quai,"quay, platform, embankment"
une légende,"legend, caption, key"
une spécialité,specialty
cruel,"cruel, ferocious, bitter [not ""féroce"" / ""amer""]"
une démission,resignation
quatorze,fourteen
redouter,"to dread, fear [not ""craindre""]"
un monstre,monster
célibataire,"single, unmarried"
une impasse,"dead end, cul-de-sac, deadlock"
contredire,to contradict
un atelier,"workshop, studio"
amical,friendly
un empire,empire
redresser,"to straighten, set right, redress, turn around"
une médaille,medal
ramasser,"to pick up, collect, gather [not ""recueillir""]"
un politicien,politician
acheminer,"to forward, dispatch, transport [not ""transporter""]"
une comédie,"comedy, playacting"
une propagande,propaganda
une colonie,colony
un désordre,"disorder, confusion"
invisible,invisible
savant,"scientist, scholar, learned, scholarly, clever, skilfull, savant"
une terreur,"terror, dread"
recruter,to recruit
conformer,"to model, conform, adapt"
un virus,virus
reconnaissant,grateful
délibérer,"to deliberate, debate"
un infini,"(inifinite,) infinity"
un tunnel,tunnel
un cousin,cousin
puiser,"to draw, take [not ""dessiner"" / ""tracer""]"
géographique,"geographic, geographical"
un réacteur,"reactor, jet engine"
ajuster,"to adjust, alter, aim, aim at"
œuvrer,"to work [not ""travailler"" / ""bosser""]"
inattendu,unexpected
automatiquement,automatically
une balance,"scales, balance"
une dépression,depression
une pompe,pump
une contestation,"questioning, protest, contesting"
un sommeil,"sleep, sleepiness"
un inconvénient,"snag, drawback, disadvantage, inconvenience"
un frein,brake
une candidature,"candidature, application, candidacy"
un armement,"arms, weapons, armament"
une épargne,"savings, saving"
iranien,Iranian
stupide,"stupid, silly, bemused [not ""con""]"
une inspiration,inspiration
surpris,"surprised, amazed"
interpeller,"to call out to, question, interpellate"
fréquemment,frequently
symbolique,symbolic
un pavillon,"country house, villa, wing pavilliion, flag"
conférer,to confer
préliminaire,"preliminary, introductory"
une sensation,sensation
troubler,"to disturb, disrupt, cloud, trouble [not ""déranger"" / ""emmerder"" / ""gêner""]"
une angoisse,"distress, anguish, dread, fear [not ""détresse""]"
une générosité,"generosity, generously"
une chaise,chair
un pape,pope
une légitimité,legitimacy
un emprunt,loan
une clause,clause
une clef,"key [not ""clé""]"
une répression,"repression, suppression, crack-down"
une tombe,"grave, tomb"
hautement,highly
évacuer,"to evacuate, clear"
un blocage,"block, blockade, blocking"
une faille,"fault [not ""faute""]"
fouiller,"to search, frisk, go through, rummage through"
respectivement,respectively
dériver,"to divert, derive"
intime,"intimate, close, secret, private"
cerner,"to surround, encircle, delimit"
une hostilité,"hostility, hostilities"
un manche,handle; (sleeve)
mathématique,mathematical; (mathematics)
un gamin,"kid [not ""gosse""]"
éternel,"eternal, everlasting"
un temple,temple
une maîtrise,"mastery, command, control, master's degree"
un arbitrage,"refereeing, umpiring, arbitration"
boucler,"to fasten, loop, resolve, buckle"
une réparation,"repair, repairing, correction, compensation"
un évêque,bishop
induire,"to infer, induce, result in, lead to"
une solitude,"solitude, loneliness"
miner,"to mine, erode"
superbe,"superb, magnificient, handsome, gorgeous"
gonfler,"to inflate, blow up, swell"
un missile,missile
un minuit,midnight
déléguer,to delegate
un veuf,"surviving spouse, widower, (widowed)"
comparaître,"to appear [not ""paraître"" / ""apparaître""]"
une trame,"weft, framework; tram"
un bain,"bath, bathing"
une sûreté,"safety, reliability, surety, security"
une composante,component
instituer,"to introduce, impose, establish, institute [not ""introduire""]"
un format,format
une hiérarchie,hierarchy
une estimation,"appraisal, valuation, assessment, estimate"
une mutation,"transfer, transformation, mutation [not ""transformation""]"
imminent,"imminent, impending"
une hâte,"haste, impatience [not ""précipitation""]"
un esclave,slave
marocain,Moroccan
un menu,"menu, (slender, slim, minor)"
imaginaire,imaginary
administrer,"to manage, run, administer; to give [not ""gérer""]"
une atteinte,"reach; attack, blow [not ""attaque""/""attentat""/""assaut""]"
une héroïne,heroine
racheter,"to repurchase, buy back, redeem"
théorique,theoretical
une guise,"wish; (like, by way of) [not ""souhait""]"
scandaleux,"scandalous, outrageous"
vulnérable,vulnerable
démissionner,to resign
un élan,"momentum, surge, rush; elk, moose"
nominal,nominal
manipuler,"to manipulate, handle"
peiner,"to toil, labor, struggle"
ennuyer,"to bore, worry, bother, annoy"
noble,noble
hebdomadaire,weekly
une approbation,approval
protestant,Protestant
un faisceau,"bundle, beam, stack"
regagner,"to win again, regain, get back, make up"
un renouvellement,"replacement, recurrence, repetition, renewal [not ""remplacement"" / ""renouveau""]"
un pilier,pillar
un animateur,"animator, host"
multinational,multinational
se méfier,"to distrust, mistrust"
étroitement,closely
un jouet,toy
un dégât,damage
formé,formed
un/une complice,"accomplice, partner"
une toile,"cloth, canvas, web"
laver,"to wash, clean"
une empreinte,"imprint, print, mark; impression [not ""impression""]"
faillir,"to have almost, fail, fail to"
une curiosité,curiosity
un passeport,passport
un creux,"hole, (hollow, empty) [not ""trou""]"
homosexuel,homosexual
un château,castle
nous-mêmes,ourselves
un forum,"forum, newsgroup"
via,via
coter,"to quote, rate"
un éclat,"splinter, fragment, brightness, burst, eclat"
une livraison,delivery
un thé,tea
préférable,preferable
un attachement,"attachment, affection"
liquide,liquid
une gamme,"gamut, range, scale"
une motivation,"motivation, application"
sincèrement,sincerely
une demeure,"residence, home [not ""résidence"" / ""habitation""]"
adéquat,"appropriate, suitable, adequate [not ""approprié""]"
geler,"to freeze, ice over, suspend"
défiler,"to unthread, parade"
un peintre,painter
volontairement,"voluntarily, willingly"
une protestation,"protest, protestation"
bien-être,well being
un cap,cape (in geography); course (direction)
raide,"stiff, straight, rigid [not ""rigide""]"
maigre,"thin, skinny, slim, lean [not ""mince""]"
artistique,artistic
aspirer,"to breathe in, inhale, aspire to"
magique,(magic;) magical
quasiment,"almost, nearly [not ""presque"" / ""quasi""]"
une allure,"speed, pace, walk, look, appearance [not ""rapidité""]"
un deuil,"mourning, grief [not ""chagrin""]"
énoncer,"to state, set out, express, enunciate [not ""préciser"" / ""stipuler""]"
un/une islamiste,Islamist
un prénom,first name
habituellement,"usually, generally, habitually [not ""generally""]"
bilatéral,bilateral
un rétablissement,"restoring, re-establishment, recovery"
cynique,"cynical, cynic"
environnemental,environmental
un constructeur,"builder, manufacturer"
réussi,successful
un nœud,"knot, bond"
peindre,"to paint, depict, portray"
un bâton,"stick, club, baton"
démocrate,"democrat, democratic"
précédemment,previously
idiot,"idiot, fool, stupid"
une querelle,quarrel
un colonel,colonel
un/une flic,cop
solitaire,"solitary, lone, lonely"
déceler,"to discover, detect [not ""découvrir"" / ""détecter""]"
une herbe,"grass, herb"
élevé,"high, heavy, tall"
s'acharner,to go at fiercely and unrelentingly
un bombardement,"bombing, shelling, bombardment"
explosif,explosive
singulier,"unique, singular [not ""unique""]"
un capitalisme,capitalism
une suspension,"hanging, suspending, breaking off, postponement, suspension"
mince,"thin, slim, slender [not ""maigre""]"
assimiler,"to assimilate, take in"
une plume,"feather, plume"
publicitaire,"advertising, promotional, publicity [not ""publicité"" / ""promotion""]"
un bagage,"luggage, baggage"
opter,"to opt, decide"
habiller,"to dress, (+se) get dressed"
un trajet,"journey, route [not ""parcours"" / ""voyage""]"
un sinistre,"disaster, sinister"
pis,worse
reconstruire,"to rebuild, reconstruct"
un tueur,"killer, hit man"
un tournoi,tournament
incarner,"to embody, incarnate"
une douane,"customs, duty"
domestique,"servant, domestic"
soucieux,"concerned, worried [not ""inquiet""]"
premièrement,"first [not ""premier""]"
une complicité,complicity
décréter,"to declare, decree [not ""proclamer"" / ""déclarer""]"
un cimetière,"cemetery, graveyard"
approprié,appropriate
dix-huit,eighteen
une nouveauté,"novelty, new release"
brusquement,"abruptly, suddenly"
coïncider,"to coincide, correspond"
une flamme,"flame, fire, fervor, brilliance"
ménager,"to handle, arrange, manage; (domestic)"
un millénaire,"millennium, thousand-year-old"
une alerte,"alert, warning"
déterminé,"determined, resolute, specific [not ""spécifique""]"
un renforcement,"reinforcement, strengthening"
guérir,"to cure, heal, get better [not ""remédier""]"
immobilier,"property, real estate, property business, real estate business"
un certificat,certificate
contaminer,"to contaminate, infect"
une pénurie,"shortage, penury"
un ange,angel
une perception,"perception, collection"
un/une philosophe,philosopher
une planche,"plank, board"
une crédibilité,credibility
une fiction,fiction
handicapé,"disabled, handicapped"
une boisson,"drink, beverage"
un tirage,"drawing, circulation, run [not ""dessin""]"
une habitation,"residence, home, dwelling, housing [not ""résidence"" / ""demeure""]"
représentatif,representative
débrouiller,"to untangle, sort out, (+se) manage, get by"
une imposition,"taxation, imposition"
générer,to generate
un ajustement,adjustment
une élaboration,"working-out, development, elaboration"
virer,"to turn, change, transfer, kick out, veer"
une facilité,"easiness, ease, aptitude"
postal,"postal, mail"
perturber,"to disrupt, disturb, perturb"
une répercussion,repercussion
un oncle,uncle
un viol,"rape, violation"
une princesse,princess
un/une gosse,"kid [not ""gamin""]"
un équipage,"crew, gear, equipage"
un carburant,fuel
un canon,"gun, cannon [not ""fusil""]"
prometteur,promising
un apprentissage,"learning, apprenticeship"
soi-disant,"so-called, supposedly [not ""prétendu"" / ""dit""]"
un culte,"worship, cult"
salarial,salary
abolir,"to abolish, do away with"
une pâte,"paste, dough, pasta"
une cohésion,cohesion
une ruine,"ruin, ruins"
percer,"to pierce, drill, break into"
un rassemblement,"gathering, collecting, assembling"
une chaussure,"shoe, sneaker"
soigneusement,"tidily, neatly, carefully"
un pot,"jar, pot"
un règne,reign
une impulsion,"impulse, pulse"
physiquement,physically
minimal,"minimal, minimum [not ""minime""]"
un malentendu,misunderstanding
un dépens,expense
implanter,"to implant, set up, establish [not ""établir""]"
descendant,"downward, descending, descendant"
politiquement,"politically, diplomatically"
crever,"to burst, puncture"
une interruption,"interruption, break"
un fossé,ditch
une patrie,"homeland, home country"
un prélèvement,"imposition, levying, withdrawal, removal, deduction [not ""retrait"" / ""abandon""]"
un/une ex,ex
un studio,"studio, studio apartment"
une intégrité,integrity
prescrire,"to prescribe, command, order, stipulate [not ""stipuler""]"
polonais,Polish
une tribu,tribe
apaiser,"to calm, appease, calm down [not ""calmer""]"
sélectionner,to select
familier,"familiar, informal"
exhorter,"to exhort, urge"
une quinzaine,"about fifteen, two weeks"
un globe,globe
une impatience,impatience
un logiciel,"software, program, application"
visiblement,"obviously, clearly, visibly [not ""évidemment""]"
suicider,to commit suicide
un préjugé,"prejudice, bias"
impératif,"need, necessity, urgent, imperative"
paralyser,to paralyze
un charme,charm
un atout,"trump, asset"
portugais,Portuguese
nord-ouest,north-west
un affaiblissement,weakening
un renvoi,"dismissal, expulsion, suspension, cross-reference, removal, return [not ""licenciement""]"
peupler,"to populate, inhabit"
un cauchemar,"nightmare, bad dream"
pénible,"hard, difficult, painful, tiresome, painstaking"
une venue,coming
un ballon,"ball [not ""boule""]"
balayer,"to sweep up, sweep out"
un affrontement,"clash, confrontation [not ""confrontation""]"
expulser,"to expel, evict, deport, throw out"
resserrer,"to tighten up, strengthen, retighten"
activement,actively
un décor,"scenery, décor, set"
abstenir,"to abstain, refrain"
une compassion,compassion
une couronne,"crown, wreath"
un plancher,"floor [not ""étage"" / ""sol""]"
une trentaine,about thirty
une détresse,"distress [not ""angoisse""]"
un escalier,"stairs, staircase"
un barrage,"barrier, obstruction, dam, roadblock"
un néant,nothingness
une descente,"descent, raid, downward slope"
un effondrement,"collapse, caving-in, falling-in, breaking-down"
encaisser,"to receive, collect, cash [not ""recevoir""]"
déduire,"to deduct, deduce, infer, figure out"
baptiser,"to name, christen, baptize"
incompatible,incompatible
bienvenu,welcome
un support,"support, stand"
une synthèse,"summary, synthesis"
une conjoncture,"situation, climate, conjuncture [not ""situation""]"
défier,"to challenge, defy, distrust"
une baie,bay; berry
une récompense,"reward, award, recompense"
une étendue,"area, expanse, duration, extent, range"
une espérance,"hope [not ""espoir""]"
un carnet,"notebook, notepad [not ""cahier""]"
un banc,"bench, workbench, pew"
réformer,"to re-form, reform, discharge"
une assise,"basis, foundation [not ""fondement"" / ""fondation""]"
énergétique,"energic, vigorous"
reléguer,to relegate
tiens,"ah, well"
deuxièmement,secondly
une vedette,"star, patrol boat [not ""étoile"" / ""star""]"
un intervenant,"contributor, intervener"
un séminaire,"seminar, seminary"
contrer,to counter
nerveux,"nervous, irritable"
un assaut,"assault, attack, bout [not ""attaque""/""attentat""/""atteinte""]"
un/une architecte,architect
arbitraire,arbitrary
vraisemblablement,"most probably, likely, in all likelihood"
une propagation,"propagation, spreading"
masculin,"male, masculine"
imiter,to imitate
embaucher,"to hire, engage"
un couteau,knife
un/une arbitre,"referee, arbiter, arbitrator"
un manteau,"coat, overcoat"
une implication,implication
un grand-père,grandfather
un reflet,"reflection, glint, highlight"
primordial,"primordial, basic, vital, primary"
décliner,"to decline, refuse, turn down"
un rideau,curtain
fermé,"shut, closed, locked"
une manipulation,"handling, manipulation"
piquer,"to sting, bite, prick, be hot; to steal"
une assiette,"plate, dish, bowl"
une requête,"request, petition [not ""pétition""]"
rival,rival
refermer,"to close again, shut again, close up"
un écu,ecu; shield
confus,"confused, embarrassed"
une expédition,"dispatch, shipping, shipment, expedition [not ""acheminement""]"
reconstituer,"to reconstitute, restore, reconstruct"
gigantesque,"gigantic, immense"
un chant,"song [not ""chanson""]"
une diplomatie,diplomacy
un lieutenant,lieutenant
réputé,"famous, renowned, reputed [not ""fameux"" / ""célèbre""]"
indirect,indirect
apte,"capable, apt [not ""capable""]"
protégé,"protected, protégé"
démentir,"to deny, refute, contradict [not ""nier""]"
sud-ouest,south-west
une envergure,"wingspan, breadth, scope"
une touche,"button, key, touch, touchline [not ""bouton""]"
déterminant,"determining, deciding, crucial"
un sous-marin,"submarine, (underwater)"
un acheminement,"routing, shipment"
dépêcher,"to dispatch, send, (+se) hurry [not ""expédier""]"
un hôte,"host, guest [not ""invité""]"
un assassin,"murderer, assassin, (provocative) [not ""meurtrier""]"
une confirmation,confirmation
un tapis,"carpet, mat, covering"
une corde,"rope, chord, string"
notable,"notable, noteworthy"
rationnel,rational
externe,"external, outer"
endormir,"to put to sleep, (+se) fall asleep"
épais,"thick, pitch dark, thickly"
un exposé,"account, statement, talk [not ""constat""]"
une boutique,"shop, boutique"
récolter,"to harvest, gather, collect"
tchèque,Czech
une autoroute,"motorway, highway, freeway"
divin,"divine, heavenly"
là-dedans,"inside, in it [not ""dedans""]"
un différend,"disagreement, controversy, difference of opinion [not ""désaccord""]"
explicite,explicite
un comté,"county, earldom"
par-dessus,over
une maternité,"maternity, motherhood"
tailler,"to trim, carve, engrave, sharpen, cut [not ""découper""]"
apparent,"apparent, obvious"
s'enfuir,"to run away, flee"
un assistant,assistant
une portion,"portion, share [not ""part""]"
une allocation,"allocation, granting, allotment, allowance"
un quota,quota
décéder,"to die, pass away, pass on, decease [not ""mourir""]"
serré,"tight, packed, crowded"
enquêter,"to investigate, hold inquiry, conduct a survey"
dix-sept,seventeen
allonger,"to lengthen, extend, stretch out"
un chauffeur,"driver, chauffeur"
une prospérité,prosperity
une spéculation,speculation
un bourgeois,"middle class, bourgeois"
touristique,"holiday, tourist, touristic"
obscur,"dark, vague, obscure [not ""sombre""]"
un cou,neck
une invention,invention
une boucle,"loop, buckle, curl"
une ambiguïté,ambiguity
redire,"to say again, repeat"
consultatif,"advisory, consultative"
torturer,to torture
un carton,"cardboard, card, score"
effrayer,"to frighten, scare"
flou,"blurred, fuzzy, vague"
une complexité,complexity
favori,favorite
un noyau,"core, nucleus, pit"
brandir,"to brandish, wield, wave"
repenser,to rethink
timide,"timid, shy, bashful"
une pitié,"pity, mercy"
une comptabilité,"accountancy, accounting, book-keeping"
précaire,"precarious, makeshift"
un trône,throne
insulter,to insult
un saut,"jump, leap"
une audition,"hearing, examination, audition"
différemment,differently
une programmation,programming
crédible,credible
une justification,"justification, proof"
une amende,fine
un transit,transit
un organisateur,"organiser, organising"
une galerie,gallery
un aménagement,"development, planning, fitting, adjustment [not ""développement"" / ""déroulement"" / ""essor"" / ""ajustement""]"
une conservation,"preservation, preserving, retention"
un char,"tank, chariot"
une criminalité,"crime, criminality [not ""crime""]"
masquer,"to mask, conceal, put on a mask"
un masque,mask
un manifestant,"protester, demonstrator"
un festival,festival
prôner,"to laud, extol, advocate, commend"
radicalement,radically
une franchise,"frankness, exemption, duty-free, franchise, deductible"
ultérieur,"later, subsequent, ulterior"
expédier,"to send, dispatch [not ""dépêcher""]"
dorénavant,"from now on, henceforth [not ""désormais""]"
propager,"to propagate, spread"
rectifier,"to rectify, correct"
un tennis,tennis
une avenue,avenue
axer,"to center [not ""centrer""]"
émouvoir,"to move, touch"
hé,"hey [not ""eh""]"
génial,"great, brilliant, inspired"
un réduit,"reduced, scaled-down, cut-down, tiny room, hideout"
alléger,"to lighten, alleviate"
une vierge,virgin
une vengeance,"revenge [not ""revanche""]"
un rapprochement,"bringing together, coming closer, parallel, rapprochement"
une confession,"confession [not ""aveu""]"
un suspens,"suspension, abeyance"
une dégradation,"degrading, damaging, erosion; demotion"
un meuble,piece of furniture
un agenda,"diary, planner, agenda"
une grand-mère,grandmother
un phare,"lighthouse, headlight"
virtuel,"virtual, potential"
un gagnant,"winner, winning"
nettoyer,to clean
vingtième,twentieth
un poing,"fist, punch"
une étiquette,"label, ticket, etiquette, sticker, tag"
une tante,aunt
une chemise,"shirt, folder"
une pile,"pile, stack, battery, tails [not ""tas""]"
un diagnostic,diagnosis
une citoyenneté,citizenship
une douceur,"softness, smoothness, mildness, gentleness, sweetness"
attester,"to attest, confirm"
attraper,"to catch, get, pick up"
prestigieux,prestigious
un kilo,kilo
ruiner,"to ruin, (+se) bankrupt oneself"
nullement,"not in the least, by no means [not ""aucunement""]"
incorporer,"to incorporate, insert, merge"
débloquer,"to free, unfreeze, unjam, release, unblock [not ""dégager"" / ""débarrasser""]"
ficher,"to file; to make fun of, not care, not give a damn"
une censure,censorship
une croix,cross
accompli,accomplished
terriblement,"terribly, awfully"
une main-d'œuvre,"manpower, labor, workforce"
une invasion,invasion
une orange,orange
un jury,"jury, board of examiners"
linguistique,"linguistic, linguistics"
rallier,"to rally, win over, join"
une roue,wheel
barrer,"to close, block, bar, cross"
réaffirmer,"to reaffirm, reassert"
assigner,"to assign, allocate, attach, attribute [not ""attribuer""]"
un bœuf,"ox, steer, beef"
un soupçon,suspicion
un constat,"report, statement [not ""exposé""]"
un communisme,communism
un dynamisme,dynamism
flagrant,"blatant, glaring, flagrant"
souhaitable,"desirable [not ""désirable""]"
un loup,wolf
concerter,"to devise, consult"
désespérer,to despair
subit,"sudden [not ""soudain""]"
un/une diplomate,"diplomat, diplomatic"
une paire,"pair [not ""pair""]"
essuyer,"to wipe, dry, mop, dust"
exporter,to export
étaler,"to spread, display, apply [not ""exposer"" / ""manifester"" / ""afficher""]"
reconduire,"to renew, drive back [not ""renouveler""]"
un handicap,handicap
bonsoir,good evening
une joue,cheek
autrui,others
bousculer,"to knock over, knock into"
ériger,"to erect, set up"
une conversion,conversion
une patte,"paw, foot, leg [not ""jambe""]"
planifier,to plan
un casque,helmet
tardif,"late [not ""tard""]"
un prédécesseur,predecessor
natal,"natal, native, home"
un humour,humour
une défaillance,"fault, failure, breakdown, blackout, weakness"
transitoire,"transient, interim, provisional, transitory"
une cabine,"hut, cubicle, booth, box, room, cabin"
un fardeau,burden
un héritier,heir
un apport,"supply, contribution [not ""approvisionnement"" / ""fourniture"" / ""contribution""]"
un remboursement,reimbursement
hélas,alas
fondre,"to melt, merge, fuse together"
une occurrence,"instance, case, occurrence"
authentique,"genuine, authentic"
attentivement,"attentively, carefully, closely"
irlandais,Irish
confortable,comfortable
un échelon,"rung, step, grade, echelon"
fonctionnel,functional
une panne,"breakdown, failure [not ""échec""]"
adieu,"goodbye, farewell, adieu"
entre-temps,"meanwhile, in the meantime"
insérer,to insert
au-dessous,underneath
un litre,litre
suivi,"follow-up; consistent, continuous"
une variation,"variation, change"
productif,productive
un groupement,"grouping, group, categorization"
un confrère,"colleague [not ""collègue""]"
un déploiement,"deployment, spreading, unfurling, display"
impuissant,"powerless, helpless, impotent"
une restauration,restoration; catering
haïr,"to detest, hate, abhor [not ""détester""]"
une marée,tide
souscrire,to subscribe
une modernisation,modernization
un suffrage,"vote [not ""vote""]"
spontané,spontaneous
joyeux,"merry, joyful, happy"
concilier,"to reconcile, conciliate [not ""ré...""]"
une tristesse,"sadness, gloominess, dreariness"
un diable,devil
sombrer,"to darken; to sink, lapse"
un/une photographe,photographer
libanais,Lebanese
des archives,"archives, records"
