Russian,English
большевик,Bolshevik
хозяйственный,economic [not экономический]
химический,chemical
таблица,table (of figures)
фашист,Fascist (noun)
лесной,forest (adj); forestry (adj)
металлический,metallic
резерв,reserve
винтовка,rifle
атом,atom
конструкция,construction
совхоз,"state farm, sovkhoz"
органический,organic
материя,matter
фундамент,foundation
частица,small part; particle
чертёж,technical drawing
строение,construction
сырьё,raw material(s)
гвардия,guards
пакет,packet; bag (paper or plastic)
пистолет,pistol
социалистический,socialist (adj)
отряд,detachment (organized group of soldiers or workers)
палуба,deck (of a ship)
артиллерия,artillery
объединение,"union, association"
ядерный,nuclear
буржуазный,bourgeois
партизан,partisan
технологический,technological
физика,physics
научно-исследовательский,scientific-research (adj)
геолог,geologist
дрова,firewood
итальянский,Italian (adj)
диктатура,dictatorship
машинный,machine (adj)
разведчик,"secret agent; scout, prospector"
академический,academic
отказывать/отказать (+d в +pr),to refuse (s.o. sth)
сетка,net; string-bag
сменяться/смениться,to be replaced
совестно (+d),ashamed
солома,straw
соперник,rival
таковой,such
телеграф,telegraph
формирование,formation
юридический,"legal, law (adj)"
банка,"jar, can"
авиация,aviation
актуальный,topical
аристократия,aristocracy
баржа,barge
батальон,battalion
башка,head (very coll)
богатырь,"bogatyr, hero"
ботинок,(low) boot
вагончик,"small wagon, coach"
промежуток,"interval; space, gap"
бетон,concrete (noun)
горящий,burning (adj)
диплом,"diploma, degree"
конституция,constitution
листва,foliage
медь,copper (noun)
нету (+g),there isn’t/aren’t (= нет) (coll)
обыкновенно,usually
проволока,wire
путешественник,traveller
функция,function
агентство,agency
бульвар,avenue [not аллея]
газовый,gas (adj)
издатель,publisher
кабы,if (coll)
кнопка,"button, knob; drawing-pin"
курица,hen
веточка,"twig, sprig"
взаимодействие,interaction
взволнованно,anxiously [not тревожно]
вздох,sigh
влажный,damp
возиться (с +inst),to fiddle (with)
отводить/отвести (+a),to take aside
вплотную (к),close up (to)
всматриваться/всмотреться,to look closely at (в +a)
головка,small head
грамм,gram(me)
грань,"border, verge; facet, edge"
дар,gift
дипломатический,diplomatic
дистанция,distance
доверять/доверить (+d),to trust (s.o.); (+a +d) entrust (sth to s.o.)
всячески,in every way possible
донской,(of the river) Don
драма,drama
глазок,small eye; peephole
жилой,"dwelling (adj), residential"
заворачивать/завернуть (+а),to wrap; (за +а) turn (a corner)
заключённый,"(as noun) prisoner, convict"
заслуживать/заслужить,"to merit, achieve by merit, deserve"
затягивать/затянуть,to tighten
звёздочка,small star; asterisk
идеологический,ideological
индустрия,industry
жених,fiancé
инструкция,instructions
карьера,career
князь,prince
ковш,"scoop, ladle"
командирский,commander’s
конкурс,competition
кот,tomcat
ликвидировать,to liquidate
метро,"metro, underground"
недра,"depths, bowels (of the earth)"
мрамор,marble
мужественный,"manly, courageous"
наверняка,"for sure; safely, without taking risks"
надолго,for a long time
насмешливо,"mockingly, sarcastically"
насыпь,"embankment, mound"
начальный,"initial, primary"
неприятно,(it’s) unpleasant; unpleasantly
няня,"nurse, nanny"
обучение (+d),teaching (of sth); training (in sth)
обходить/обойти (+a),to go round; avoid
пачка,"packet, pack"
опаздывать/опоздать,to be late (for) (на +a)
оросительный,irrigation (adj)
отличать/отличить,to distinguish (+a)
паспорт,passport
пашня,ploughed field
пёс,dog (coll)
плановый,"planned, planning"
плоскость,flatness; plane (surface)
по-вашему,in your opinion; as you want
подбородок,chin
предусматривать/предусмотреть,"to envisage, stipulate, foresee"
подвода,cart
кланяться/поклониться,to bow
поперечный,transverse
разделение,division
популярный,popular
последовательно,consistently
посмеиваться,to chuckle
преобразование,transformation; reform
протестовать/за- (против +g),to protest (against)
противоположный,opposite; contrary
радиостанция,radio station
размышлять/размыслить,to ponder (on) (о +pr)
рай,paradise
расширять/расширить,"to broaden, expand (+a)"
редкость,rarity
родня,relatives
слесарь,"metal worker, fitter"
ручей,"brook, stream"
сводиться/свестись (к +d),to reduce (to)
серебро,silver
сказываться/сказаться (на +pr),to have an effect  on; proclaim oneself
сменять/сменить (+a),to replace
сниться/при-,to appear in a dream
ссылка,internal exile (inside Russia)
соседство,vicinity
угнетение,oppression
сосна,pine-tree
стесняться/по-,to be shy
судебный,"judicial, legal"
торжество,celebration; triumph
уговаривать/уговорить,"to persuade, urge (+a)"
узор,pattern
украинский,Ukrainian
этакий,such (= такой) (coll)
уникальный,unique
уставляться/уставиться,"to fix one’s gaze (on), stare (at) (в +a)"
устойчивый,stable (adj)
численность,"total number, quantity"
шарик,(small) ball
эксперимент,experiment
энергетический,"power, energy (adj)"
прелесть,charm
целоваться/по-,to kiss (each other)
пресс-конференция,press conference
весить,to weigh (intrans)
парадный,ceremonial; main
построение,construction
разбойник,brigand
жидкий,"liquid; thin, feeble"
ребятишки,"children, kids (coll)"
статуя,statue
тракторный,tractor (adj)
японец,Japanese man
азиатский,Asian (adj)
ансамбль,ensemble
матушка,mother (coll)
близнец,twin
владение,"possession, ownership"
земледелец,"farmer, peasant farmer"
бровь,eyebrow; brow
правящий,ruling (adj)
расположение,arrangement; location; liking; inclination
рельс,rail
реформа,reform
речной,river (adj)
руль,steering-wheel; helm
степной,steppe (adj)
сынок,sonny (form of address)
теплота,warmth
бабий,women’s (coll; sexist)
дореволюционный,pre-revolutionary
трение,friction
тундра,tundra (treeless northern wastes)
установление,establishment
языковой,linguistic
яркость,brightness
амбар,barn; storehouse
аспирант,postgraduate (noun)
бесплодный,barren; fruitless
ворчать,to grumble; growl
диаметр,diameter
каторга,"hard labour, penal servitude"
компас,compass
лечение,"healing, treatment"
мерзавец,scoundrel (coll)
набережная,embankment; sea-front
накопление,accumulation
оглядывать/оглядеть,"to inspect, look over (+a)"
парадокс,paradox
видать/по-,to see (coll) (+a)
производительный,productive
приподнимать/приподнять,to raise slightly (+a)
разорение,"ruin, devastation"
исполком,executive committee
баланс,balance (econ)
стеклянный,glass (adj)
старшина,sergeant-major; leader
полковник,colonel
глина,clay
гимназия,"grammar school, high school"
пуговица,button
окоп,trench
комбинат,"combine, industrial complex"
сундук,"trunk, chest"
мельница,mill
тракторист,tractor driver
букет,bouquet
сезон,season
паровоз,"locomotive, steam engine"
юбилейный,anniversary (adj)
ось,axis; axle
арестованный,"arrested, person arrested"
валенок,felt boot
животноводство,stock-raising (noun)
пуд,pood (16.38 kg)
стрельба,shooting (noun)
выработка,working-out; production
гонка,"race, rush"
заводской,factory (adj)
прислуга,servants
разряд,discharge; category
вдова,widow
последовательный,consistent; successive
психологический,psychological
цилиндр,cylinder; top hat
француз,Frenchman
лейтенант,lieutenant
калитка,"gate, garden gate"
отверстие,"opening, aperture"
рота,company (of soldiers)
пленум,plenary session
комплексный,"complex, consisting of several parts"
машинист,engine-driver
ведомство,department (of government)
агрегат,"unit, assembly"
мамаша,mother (coll)
лунный,lunar
приказание,"order, command"
благосостояние,"well-being, prosperity"
комплекс,complex (noun)
областной,"oblast (adj), provincial"
офицерский,officer’s
новогодний,New Year (adj)
пианино,(upright) piano
воробей,sparrow
благополучно,"safely, well"
плакат,poster
пробка,cork; plug; fuse; traffic jam
производиться/произвестись,to be produced
качественный,qualitative; good quality
космический,(outer) space (adj)
конструктор,"constructor, designer"
пучок,bundle; bun (hairdo)
себестоимость,"cost, cost price"
разложение,"decomposition, disintegration"
револьвер,revolver
композитор,composer
ток,electric current
ферма,farm
шахта,"mine, pit"
наружный,"outer, external"
братство,brotherhood
оболочка,"cover, envelope"
деление,division
ликвидация,"liquidation, elimination"
изготовлять/изготовить (+a),to manufacture
плавание,swimming; sailing
сени,entrance hall (of peasant hut)
сенатор,senator
первичный,primary
шашка,"sabre; (pl) draughts, checkers (board game)"
погон,shoulder-strap
посев,sowing (noun)
снабжение,"supply, supplying"
идиот,idiot
господствующий,"ruling, predominant"
командующий (+inst),(as noun) commander (of)
польский,Polish (adj)
груша,pear
жила,vein
стадо,herd
барыня,lady
смесь,mixture
водяной,"water (adj), aquatic, water-powered"
интеллигент,member of intelligentsia; professional; intellectual
кладбище,cemetery
нагибаться/нагнуться,to bend down
грузить/по- (+a),to load
погружать/погрузить,to immerse
уличный,street (adj)
впредь,"henceforth, in future"
свёрток,"package, bundle"
содержаться,to be maintained; be contained
равновесие,"balance, equilibrium"
хата,peasant house
экипаж,carriage; crew
овраг,"ravine, gully"
фуражка,peaked cap
козёл,goat
якорь,anchor
комбайн,combine harvester
бухта,bay [not залив]
сани,sledge (pl)
император,emperor
полярный,polar
рояль,(grand) piano
сплочение,"uniting, strengthening (noun)"
земледелие,agriculture
должный,"due, proper"
песчаный,sandy
пехота,infantry
залив,bay [not бухта]
путёвка,voucher for travel and accommodation
выпускник,final-year student; graduate; school-leaver
механизация,mechanization
механизатор,mechanization expert; machine servicer
госпиталь,(military) hospital
конгресс,congress
рубка,felling; chopping; deck cabin
огурец,cucumber
посол,ambassador
паренёк,lad (coll)
ветеран,veteran
воинский,military (adj)
порошок,powder
удобрение,fertilizer; fertilizing
аппаратура,apparatus
батька,"dad, father (coll)"
декрет,decree
плотина,dam
проговорить,to say
ранг,rank [not чин]
безумие,madness
бессмертие,immortality
турнир,tournament
центнер,"100 kilogrammes, centner"
питательный,nourishing (adj)
идеология,ideology
ядро,nucleus; ball
корма,stern (of ship)
окраска,colouring (noun)
архитектура,architecture
зрительный,visual
шторм,gale
химик,chemist
корешок,"back (of bookbinding); small root; counterfoil; (coll) pal, mate"
мина,"mine, shell (mil)"
рюмка,wineglass
крючок,hook
ваза,vase
зародыш,foetus; embryo
причал,mooring
сотрудничество,collaboration
жидкость,liquid
физик,physicist
спортсмен,sportsman
архитектурный,architectural
тратить/по-,to spend (+a)
покров,"cover, shroud"
автоматизация,automation
коллекция,collection
миролюбивый,peace-loving
пленный,captive
теплоход,"motor-vessel, motor-ship"
алмазный,diamond (adj)
космос,"cosmos, space"
скоростной,"high-speed, express"
вулкан,volcano
выше,"higher, above"
старец,elder (noun)
адмирал,admiral
охлаждение,cooling
минус,minus; disadvantage
видение,vision
лыжи,skis
социалист,socialist (noun)
воздействие,"influence, pressure"
сборный,"collapsible, prefabricated; mixed, combined (team)"
кислород,oxygen
пещера,cave
общечеловеческий,"universal, of all mankind"
каюта,cabin (ship)
пузырёк,bubble; phial
равнина,plain (noun)
девчата,girls (coll)
продолжительный,prolonged
водохранилище,"reservoir, water storage basin"
заповедник,"reserve, nature-reserve"
чемпионат,championship
сердитый,angry
тулуп,sheepskin coat
активность,activity
варить/за-,"to boil, cook by boiling (+a)"
анализировать/про-,to analyse (+a)
аплодировать/за- (+d),to applaud (s.o. or sth)
ассортимент,assortment
барабан,drum
боковой,side (adj)
болтать/по-,"to shake, stir; (coll) chatter"
влиять/по- (на +a),to influence
влюблённый (в +a),in love (with)
внимательный (к),"attentive, considerate (to)"
водитель,driver
диск,disk; discus
водить/по- (+a),"to lead, (p) to lead about"
возвращаться/возвратиться,to return
днём,by day; in the afternoon
возрастающий,"growing, increasing"
вполголоса,in an undertone
выражаться/выразиться,to express os; (coll) swear
грешный,sinful
дача,"dacha, holiday cottage"
двойной,"double, twofold"
заманчивый,tempting
доброволец,volunteer
догадка,"guess, conjecture"
допрос,interrogation
древесный,wood (adj)
живопись,"painting, paintings"
завершать/завершить,to complete (+a)
заросль,thicket
коричневый,brown
здравоохранение,"healthcare, health service"
казнь,execution
капитальный,"main, most important"
картофель,potatoes
кирпичный,brick (adj)
клад,treasure [not сокровище]
компьютер,computer
конный,"horse (adj), equestrian"
купол,cupola
лавочка,small shop; small bench
неизбежность,inevitability
заряд,"charge, cartridge"
лад,"harmony, tune; manner"
лечить/вы- (+a),"to treat, cure"
напевать/напеть,"to sing; sing quietly, hum"
младенец,baby
намёк,"hint, allusion"
насквозь,through
миллиметр,millimetre
небрежно,carelessly
прижиматься/прижаться (к +d),"to press os (to), snuggle up (to)"
нефтяной,oil (adj)
орошение,irrigation
нелёгкий,difficult; heavy
необычайный,exceptional
неплохой,not bad
опрокидывать/опрокинуть,"to knock over, overturn (+a)"
нетерпеливо,impatiently
обижать/обидеть,"to offend, hurt (+a)"
нелепый,absurd
обнаруживаться/обнаружиться,to be revealed
обрыв,precipice
одиночество,"loneliness, solitude"
одобрять/одобрить (+a),to approve
опасно,dangerously
опера,opera
неожиданность,surprise [not удивление]
отбрасывать/отбросить,to throw off; discard (+a)
пейзаж,landscape
откос,slope
охотничий,hunting (adj)
палата,chamber; ward
палач,executioner
палочка,"small stick, baton"
парижский,Parisian
перегрузка,overload
переплёт,binding (noun)
подвергать/подвергнуть,to subject (s.o. to sth) (+a +d)
подряд,in succession; contract
пожелание,wish
покойник,"dead person, the deceased"
по-разному,in different ways
по-своему,in one’s own way
потребитель,consumer
почин,initiative
приближаться/приблизиться (к +d),to approach; draw near
признаваться/признаться,to confess (в +pr)
разрывать/разорвать,to tear up (+a)
принципиальный,"of principle, fundamental"
разгром,crushing defeat; devastation
провод,wire
прожектор,searchlight; floodlight
простота,simplicity
прочно,solidly
прошедший,past (adj)
пузырь,bubble
разоблачать/разоблачить,"to expose, unmask (+a)"
сев,sowing (noun)
разом,"at once, at one go; in a flash (coll)"
распространять/распространить,to spread (+a)
рассеянный,absent-minded
ремень,belt
робко,timidly
свист,whistling (noun)
свойственный (+d),characteristic (of)
сдерживать/сдержать,"to hold back, restrain, keep (promise) (+a)"
скандал,scandal
сломить (+a),to break
случайность,"chance, chance occurrence"
собачий,dog’s
советник,adviser
согласно (+d),according to
татарин,Tatar
сокращать/сократить,to shorten; reduce (+a)
ужинать/по-,to have supper
солидный,"solid, sound; reliable"
спокойствие,calmness
сражение,battle
стадион,stadium
стан,figure (human); camp
стойкость,"firmness, steadfastness"
стремительный,rapid; dynamic
таить,to conceal (+a)
таскать/по-,to drag (+a)
употреблять/употребить (+a),to use
усиление,strengthening (noun)
устранять/устранить,to remove (+a)
фу,(expressing disgust) ugh!
чудовищный,monstrous
чуждый (+d),alien (to); (+g) devoid (of)
шоссе,highway
шумный,noisy
блокнот,notepad
эра,era
эффективный,effective
ясность,clarity
адвокат,lawyer
активист,(political) activist
внук,grandson
шутливо,"jokingly, facetiously"
архитектор,architect
бал,ball (dance)
аккуратный,"exact, punctual; tidy"
беднота,the poor
ввиду (+g),in view of
веко,eyelid
весной,in spring
вешалка,coat hanger
вздрагивать/вздрогнуть,"to start, flinch, shudder"
вопреки (+d),in spite of
приманка,bait; inducement
вор,thief
быть вправе (+inf),to have a right to
вспоминаться,to be remembered
встречный,oncoming
ворот,collar; winch
выращивать/вырастить,"to grow (sth), rear, cultivate (+a)"
глухо,indistinctly
господствовать (над +inst),to dominate
гребень,"comb, crest"
даль,distance
заговор,"plot, conspiracy"
дворник,"caretaker, janitor; (coll) windscreen wiper"
вот-вот,"just about to, on the point of"
деревенский,"village, country (adj)"
длиться,to last
жалость,pity
жёсткий,harsh [not суровый]
заблуждение,delusion
загадочный,mysterious [not таинственный]
загораться/загореться,to catch fire
задумчивый,thoughtful
зимой,in winter
залезать/залезть,"to climb, get (into/onto) (в/на +a)"
заодно,together; (coll) at the same time
заполнять/заполнить,"to fill in, fill up (+a)"
заработок,earnings
заслуженный,deserved; distinguished
икона,icon
злоба,"spite, malice"
извлекать/извлечь,to extract (+a)
излишний,superfluous
изобилие,abundance
индивидуальный,individual (adj)
кое-где,here and there
контакт,contact [not прикосновение]
исключать/исключить,to exclude (+a)
каникулы,"holidays, vacation"
капелька,droplet
кидаться/кинуться,"to throw os, rush"
количественный,quantitative
комендант,"warden (of hostel); commandant, governor"
конфликт,conflict
корка,crust; rind
корреспонденция,correspondence
летом,in summer
максимальный,maximal
индустриальный,industrial
машиностроение,mechanical engineering
местность,"locality, district"
мундир,uniform
набирать/набрать,"to gather, assemble (+a)"
накапливать/накопить,to accumulate (+a)
налетать/налететь,to swoop on; run into (на +a)
наряд,"attire, costume; order, warrant"
обидно,"it hurts, it’s annoying"
настойчивый,insistent
находка,find
неоднократно,repeatedly
нервничать,to be nervous
нисколько,not at all
овладение (+inst),mastery (of)
ограничиваться/ограничиться (+inst),to limit oneself (to); be limited (to)
паника,panic
орех,nut
отделять/отделить (+a),to separate
отпирать/отпереть,to unlock (+a)
отправление,dispatch; departure (of train)
ощущать/ощутить,"to feel, sense (+a)"
пахать,to plough (+a)
первенство,first place (in competition); championship
пласт,layer; stratum [not слой]
поляна,"glade, clearing, forest meadow"
плетень,"hurdle, wattle (fence)"
плотник,carpenter
поближе,a bit closer
подчинение,"submission, subjection"
пожарный,fire (adj); (as noun) fireman
порождать/породить,"to beget, engender, generate (+a)"
поскорее,a little faster; hurry up!
поклон,bow (greeting)
посматривать,to look (at) from time to time (на +a)
почитать/почтить,to respect
поэма,long poem
презрение,scorn
преимущественно,primarily
приспособление,adaptation; device
приход,arrival
проверка,"check(ing), inspection"
яблоня,apple-tree
просыпаться/проснуться,to wake up
электричество,electricity
абстрактный,abstract
рассыпаться,to scatter; crumble
растворяться/раствориться,to dissolve; open
пролетать/пролететь,to fly through or past
принципиально,on principle; fundamentally
теряться/рас-,to get lost; panic
приобретение,acquisition
отступление,digression; retreat
реальность,reality
речка,small river
семьдесят,seventy
руководствоваться (+inst),to be guided (by)
сбор,"collection, gathering"
сводка,"report, bulletin"
сдача,handing over; change (money returned)
сено,hay
сердечный,heart (adj); heartfelt; warm-hearted
ситуация,situation
рекорд,record
сияние,radiance
скважина,"chink, hole"
тираж,number of copies; draw (lottery)
ломать/с-,"to break, fracture (+a)"
составной,composite; component (adj)
ссылаться/сослаться,"(на +a) to refer to, quote; plead (give as an excuse)"
твёрдость,firmness
тетрадка,exercise book
торжественно,ceremonially; festively
тощий,emaciated
треск,crack; crash
фокус,focus; trick
трещина,"crack, cleft"
труп,corpse
формула,formula
украшать/украсить,to adorn (+a)
упорно,persistently
футбольный,football (adj)
хлебный,bread (adj)
экспериментальный,experimental
хлопок,cotton
хлопок,"clap, bang"
цикл,cycle
анархия,anarchy
банда,"band, gang"
бетонный,concrete (made of concrete) (adj)
вертеться,to rotate
виноват,guilty; sorry! (short adj)
вольно,freely [not свободно]
восемнадцать,eighteen
бремя,burden [not тяжесть]
вредно,(it is) harmful
выдержка,self-control; excerpt
вынужденный,forced
галстук,"tie, necktie"
географический,geographical
дверца,"small door, car door"
гитара,guitar
глиняный,clay (adj)
горка,hillock
девяносто,ninety
демонстрация,demonstration
достояние,property
драгоценность,jewel; something valuable
дрогнуть,"to shake, waver"
дружок,friend (coll)
ёлка,fir tree
ерунда,nonsense; trifling matter (coll)
дрогнуть/про-,"to be chilled, shake (with cold)"
жечь/с- (+a),to burn
завершение,completion
зависть,envy
завязывать/завязать,"to tie; start, get involved in (+a)"
заливать/залить,to flood (sth with sth) (+a +inst)
задыхаться/задохнуться,to suffocate
заезжать/заехать,to call in
заключительный,"final, concluding"
законодательство,legislation
заносить/занести,to bring in; raise (+a)
запрещать/запретить,(+d) to forbid (s.o.); (+a) ban (sth)
зрелище,spectacle
клин,wedge
иголка,needle
избавляться/избавиться (от +g),to escape from; get rid of
исследовать,to investigate (+a)
математика,mathematics
касса,cash desk; ticket-office
когда-либо,at any time; ever
историк,historian
контрольный,"checking, monitoring (adj)"
национальность,"nationality, ethnic group"
изложение,exposition
крохотный,tiny (coll)
налаживать/наладить (+a),"to put in working order, set going, adjust, put in order"
купеческий,merchant (adj)
манёвр,manoeuvre
медицина,"medicine, medical studies"
мобилизовать,to mobilize (+a)
набор,"set, collection; recruitment"
наглядно,"clearly, graphically"
хмуриться/на-,to frown
недоумение,bewilderment
овощи,vegetables
неловкий,awkward
непримиримый,irreconcilable; uncompromising
отчасти,partly
приоткрывать/приоткрыть,to open slightly (+a)
агитация,agitation
прихожая,entrance hall
ограда,fence [not забор]
оригинальный,original
отстаивать/отстоять,to defend (+a)
отцовский,paternal
переменять/переменить (+a),to transform; change
определённо,definitely
перила,"handrail, banisters (pl)"
печально,sad(ly) [not грустно]
вредить/по- (+d),"to harm, damage"
прекращаться/прекратиться,to cease
позор,disgrace
полезно,(it is) useful; usefully
осуществляться/осуществиться,"to be brought about, be fulfilled, be put into effect"
поляк,Pole
порыв,gust; impulse
присоединяться/присоединиться (к +d),"to join, join (a group)"
предназначать/предназначить,"to intend for, earmark (for) (на +a or для +g)"
предпочитать,to prefer (sth to sth) (+a +d)
преодоление,overcoming (noun)
приглашение,invitation
прикосновение,contact [not контакт]
разрез,"cut, section"
проделывать/проделать,"to make, do, accomplish (+a)"
расширяться/расшириться,"to broaden, expand"
прыжок,jump
равняться/с-,(на +a) to emulate; (+d) be equal to
развёртываться/развернуться,"to unroll, unfold; expand; swing round (make a U-turn)"
разъяснять/разъяснить,to explain (+a)
профиль,profile
располагаться/расположиться,to take up position; settle oneself; make os comfortable
сделка,"deal, transaction"
преподаватель,"teacher, lecturer"
режиссёр,"producer (theatre), director (cinema)"
религиозный,religious
соблюдать/соблюсти,"to keep to, adhere to (+a)"
робкий,timid
рухнуть,to collapse
самостоятельно,independently [not независимо]
связанный,connected; bound
скучать,to be bored; (по +d) miss (s.o. or sth)
совпадать/совпасть (с +inst),to coincide (with)
сознавать/сознать,"to acknowledge, be aware of (+a)"
соскакивать/соскочить (с +g),to jump off
состязание,competition
тревожный,worrying; worried
стойка,"bar, counter; stance"
стрелка,arrow; hand (of clock)
струна,string (of instrument)
убеждённый,convinced
супруга,spouse (wife)
устало,wearily
сходный,similar; (coll) fair (of price)
туго,"tight(ly); difficult, hardly"
угрюмый,"sullen, gloomy"
упрекать/упрекнуть,"(+a в +pr) to accuse (s.o. of), reproach"
усердно,conscientiously
ух,ooh!
филиал,branch (of organization)
холодильник,refrigerator
худо,"bad, badly"
швырять/швырнуть (+a or +inst),"to fling, hurl, throw (coll)"
цепляться/за-,(за +a) to clutch (at); catch (on)
частота,frequency
чердак,attic
авангард,vanguard
чётко,"clearly, distinctly, precisely"
шевелить/по- (+a or +inst),"to stir, move"
шёлковый,silk (adj)
шерсть,wool; hair (of animal)
экскурсия,excursion
былой,"former, past"
юбка,skirt
ястреб,hawk
архив,archive(s)
висок,temple (ear to forehead)
ахать/ахнуть,to gasp
вымысел,"fabrication, fantasy"
бесспорный,indisputable
бешено,"madly, furiously"
вводиться/ввестись,"to be introduced, brought in"
великолепно,splendid(ly)
взвод,platoon
видимость,visibility; appearance
вкладывать/вложить,(+a) to insert; invest
вкусный,tasty
гад,"swine, rat (of person) (coll)"
выбегать/выбежать (из +g),to run out
горючее,fuel
грамотный,literate
граната,shell; grenade
греметь/за-,"to roar, resound"
греть/по- (+a),to heat
администрация,administration
дискуссия,discussion
дичь,"game, wildfowl"
ей-богу,"truly, indeed (coll)"
желудок,stomach
произвол,"arbitrariness, abuse of power"
дрожащий,trembling (adj)
противоречивый,contradictory
забивать/забить,(+a) to begin to beat; hammer in; block; cram
изобретать/изобрести,to invent (+a)
задевать/задеть,to touch; catch (on sth) (+a)
замечательно,remarkable; remarkably
изумительный,amazing
записной,note (adj)
засуха,drought
затруднение,difficulty
значок,badge
избыток,abundance; surplus
изящный,elegant
исход,"outcome, end"
календарь,calendar
карточка,card
клясться/по-,"to swear, vow"
маска,mask
коалиция,coalition
котелок,pot; bowler hat
круто,steeply; sharply
латинский,Latin (adj)
лихой,"dashing, daring; skilful (coll)"
мел,chalk; whitewash
мировоззрение,"outlook, philosophy of life"
комментарий,commentary
мучить/за-,to torment (+a)
мяч,ball (for games)
наедине,in private; alone
литься/по-,to pour
наибольший,largest
намечаться/наметиться,to be planned
насмешка,taunt
ознакомляться/ознакомиться (с +inst),to acquaint oneself with
недовольный (+inst),dissatisfied (with)
неизменно,invariably
одобрение,approval
немедленный,immediate
необыкновенно,unusually
непонятно,incomprehensible/ly
отбивать/отбить,"(+a) to repulse; remove; break off; beat off, get by force"
нетерпение,impatience
неудача,failure
обозначать/обозначить,"to mark, designate, denote, mean (+a)"
ограничивать/ограничить,to limit (+a)
осуждать/осудить,to condemn (+a)
петля,loop; hinge
повседневный,everyday
отважный,courageous
палатка,tent
пена,foam
первобытный,primitive
переживание,"experience, emotional experience"
платформа,platform
плодородный,"fertile, fruitful"
поверх (+g),above
подвёртываться/подвернуться,"(coll) to turn up, crop up; be rolled up; be sprained, twisted (foot)"
делиться/по- (+inst c +inst),to share (sth with s.o.)
вложение,enclosure (in letter); investment
подлый,"mean, underhand"
венгерский,Hungarian
подполье,underground organization; cellar
подражать (+d),to imitate
возникновение,"beginning, origin"
волшебный,magic
враждебный,hostile
грош,"half-kopeck, farthing"
вред,harm
губерния,tsarist province (now область)
выборы,election (pl)
гадость,filth; dirty trick
геологический,geological
замена,replacement
гимнастёрка,soldier’s tunic
гнёт,oppression
граф,count (title)
график,graph; schedule
демократ,democrat
дорожный,road (adj)
духовенство,clergy
едкий,"acrid, pungent; sarcastic"
жадно,greedily
жилище,"dwelling, habitation"
заветный,"cherished, intimate"
заново,anew
западноевропейский,Western European
кружиться/за-,"to whirl, spin round; begin to spin"
кожаный,leather (adj)
запевать/запеть,to start singing
затрачивать/затратить,"to spend, expend (+a)"
звонкий,"ringing, clear"
знаток,expert
ирония,irony
исповедь,confession
лапа,paw
колония,colony
конский,horse (adj)
конфета,sweet (noun)
кто-либо,anyone
купаться/ис-,to bathe
кучка,small heap; small group
путём (+g),by means of
липа,lime tree
наводить/навести,"to guide (to); evoke, cause (+a)"
ловушка,trap
метель,snowstorm
лопаться/лопнуть,to burst
любопытно,curiously
материк,mainland
мгновенно,"instantaneously, instantly"
мостовая,roadway
мышка,armpit; mouse
налог,tax
напряжённость,tension
национализм,nationalism
неверно,false(ly)
негодяй,rascal
недаром,not for nothing
недоверие,mistrust
образованный,educated
некто,"someone, a certain"
ненужный,unnecessary
непререкаемый,unquestionable
новинка,novelty
обедать/по-,"to dine, have a meal"
обрываться/оборваться,to snap; stop suddenly; stop short
оживление,"excitement, animation"
относительный,relative (adj)
отныне,henceforth
отодвигать/отодвинуть,to move aside (+a)
перебирать/перебрать,(+a) to sort out; look through; go over; sort through; to take in excess
отчаянно,desperately
официант,waiter
оформление,registration; putting in required form
пальма,palm tree
патриотизм,patriotism
педагогический,"pedagogical, education (adj)"
переписка,correspondence
перерезать,to cut (+a)
печаль,sorrow
плюс,plus; advantage
плясать/с-,to dance
погреб,cellar
подмигивать/подмигнуть (+d),to wink (at)
подсчёт,calculation
подъезд,"entrance, doorway"
покорно,"humbly, obediently"
полвека,half a century
поправка,correction
попросту,simply (coll)
последовательность,sequence; consistency
смеяться/по-,to laugh
пояснять/пояснить (+a),to explain
правильность,correctness
превосходство,superiority
предъявлять/предъявить (+a +d),"to show, present (sth to s.o.)"
придерживаться (+g),"to keep to, adhere to"
прилетать/прилететь,to arrive (by air)
примесь,admixture
посредине (+g),in the middle (of)
провокация,provocation
проповедь,sermon
пророк,prophet
ресница,eyelash
противоречить (+d),to contradict (s.o. or sth)
процветание,flourishing; prosperity
птичий,bird’s
пьянство,drunkenness
своевременный,timely
радуга,rainbow
громить/раз-,to rout; wreck (+a)
раскрываться/раскрыться,"to open; be revealed, open up"
расправа,reprisal; harsh treatment; punishment
рассматриваться,to be considered
ритм,rhythm
спираль,spiral
рыбный,fish (adj)
справка,piece of information; certificate
сбиваться/сбиться,"to slip; go wrong, get confused; huddle together"
сдержанный,restrained
склоняться/склониться,"to bend, bow; be declined"
скотина,cattle
сноха,daughter-in-law (of husband’s father)
сообщаться/сообщиться,to be communicated; communicate with
прогноз,forecast
спрос,demand (opposite of supply)
сражаться/сразиться (с +inst),to fight
удача,success
фактически,in fact; practically
топать/топнуть,to stamp (one’s feet); (coll) go (=идти)
трибуна,platform; stand (in stadium)
трястись,to shake; tremble
тусклый,dim
церемония,ceremony
тьфу,"(euphemism for spitting; expressing dislike or scorn) yuk!, ugh!, pah! (coll)"
убедительный,convincing; earnest
ускорение,acceleration
успокаивать/успокоить,"to calm, soothe, quieten (+a)"
